# param-sweep per-variant results (fail-closed gate: bash parity/param-sweep-verify.sh <workDir>)
# corpus: 1900 variants, parity/programs/param-sweep/manifest.tsv (regeneration drift-checked inside the gate)
# authority: noisemaker@c9ee8a049b2b63cd300da67c01ee40baf29dc288 (v1.0.176), worktree checkout passed via NM_REFERENCE_ROOT
# oracle: node tools/export-graph.mjs — 1900/1900 ok
# candidate: C# live DSL compiler, dotnet 8 tools/graphdump — 1900/1900 ok (no Unity editor)
# diff: python3 parity/graph-diff.py — 1900 graph-clean, 0 FAIL, 0 missing, exit 0
classicNoisedeck__coalesce__blendMode__phoenix	PASS
classicNoisedeck__coalesce__blendMode__reflect	PASS
classicNoisedeck__coalesce__blendMode__saturationAB	PASS
classicNoisedeck__coalesce__blendMode__saturationBA	PASS
classicNoisedeck__coalesce__blendMode__screen	PASS
classicNoisedeck__coalesce__blendMode__softLight	PASS
classicNoisedeck__coalesce__blendMode__subtract	PASS
classicNoisedeck__coalesce__mix__mid	PASS
classicNoisedeck__coalesce__refractAAmt__mid	PASS
classicNoisedeck__coalesce__refractBAmt__mid	PASS
classicNoisedeck__coalesce__refractADir__mid	PASS
classicNoisedeck__coalesce__refractBDir__mid	PASS
classicNoisedeck__composite__blendMode__colorSplash	PASS
classicNoisedeck__composite__blendMode__greenscreenBA	PASS
classicNoisedeck__composite__blendMode__aBBlack	PASS
classicNoisedeck__composite__blendMode__aBColorBlack	PASS
classicNoisedeck__composite__blendMode__aBHue	PASS
classicNoisedeck__composite__blendMode__aBSaturation	PASS
classicNoisedeck__composite__blendMode__aBValue	PASS
classicNoisedeck__composite__blendMode__bABlack	PASS
classicNoisedeck__composite__blendMode__bAColorBlack	PASS
classicNoisedeck__composite__blendMode__bAHue	PASS
classicNoisedeck__composite__blendMode__bASaturation	PASS
classicNoisedeck__composite__blendMode__bAValue	PASS
classicNoisedeck__composite__blendMode__mix	PASS
classicNoisedeck__composite__blendMode__psychedelic	PASS
classicNoisedeck__composite__blendMode__psychedelic2	PASS
classicNoisedeck__composite__range__mid	PASS
classicNoisedeck__composite__mix__mid	PASS
classicNoisedeck__effects__effect__bloom	PASS
classicNoisedeck__effects__effect__blur	PASS
classicNoisedeck__effects__effect__blurSharpen	PASS
classicNoisedeck__effects__effect__cga	PASS
classicNoisedeck__effects__effect__derivatives	PASS
classicNoisedeck__effects__effect__derivDivide	PASS
classicNoisedeck__effects__effect__edge	PASS
classicNoisedeck__effects__effect__emboss	PASS
classicNoisedeck__effects__effect__litEdge	PASS
classicNoisedeck__effects__effect__outline	PASS
classicNoisedeck__effects__effect__pixels	PASS
classicNoisedeck__effects__effect__posterize	PASS
classicNoisedeck__effects__effect__shadow	PASS
classicNoisedeck__effects__effect__sharpen	PASS
classicNoisedeck__effects__effect__smoothEdge	PASS
classicNoisedeck__effects__effect__sobel	PASS
classicNoisedeck__effects__effect__subpixel	PASS
classicNoisedeck__effects__effect__zoomBlur	PASS
classicNoisedeck__effects__effectAmt__mid	PASS
classicNoisedeck__effects__scaleAmt__mid	PASS
classicNoisedeck__effects__rotation__mid	PASS
classicNoisedeck__effects__offsetX__mid	PASS
classicNoisedeck__effects__offsetY__mid	PASS
classicNoisedeck__effects__flip__all	PASS
classicNoisedeck__effects__flip__horizontal	PASS
classicNoisedeck__effects__flip__vertical	PASS
classicNoisedeck__effects__flip__leftToRight	PASS
classicNoisedeck__effects__flip__rightToLeft	PASS
classicNoisedeck__effects__flip__upToDown	PASS
